page,1
ಚ,"1. ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ಇಪ್ಪತ್ತನೆಯ ಅಕ್ಷರ.
 2. ಆರು ಎಂಬ ಸಂಖ್ಯೆಯ ಸಂಕೇತ."
ಚಕಚಕಿಸು,ಹೊಳೆ.
ಚಕಬಂದಿ,"ಮನೆ, ಹೊಲ ಮುಂತಾದ ಕ್ಷೇತ್ರಗಳ ಸೀಮಾವಿವರ,- ಗಡಿಗಳ ನಿರ್ದೇಶ."
ಚಕಮಕಿ,"1. ಪರಸ್ಪರ ಉಜ್ಜುವುದರಿಂದ ಬೆಂಕಿಯುಂಟಾಗುವ ಒಂದು ಬಗೆಯ ಕಲ್ಲು.
 2. ಜಗಳ."
ಚಕಾರ,"1. `ಚ’ ಎಂಬ ಅಕ್ಷರ.
 2. ಒಂದು ಅಕ್ಷರದಷ್ಟು ಮಾತು."
ಚಕಾರವೆತ್ತು,ಒಂದು ಮಾತನ್ನಾದರೂ ಆಡು.
ಚಕಾರಿಸು,ಚಕಾರವೆತ್ತು.
ಚಕಿತ,"1. ಬೆರಗುಗೊಂಡ ವ್ಯಕ್ತಿ.
 2. ಗಾಬರಿಗೊಂಡವನು."
ಚಕಿತ,"1. ಅಸ್ಥಿರವಾದ.
 2. ಬೆರಗುಗೊಂಡ.
 3. ಗಾಬರಿಗೊಂಡ."
ಚಕೋರ,"1. ಬೆಳುದಿಂಗಳನ್ನೇ ಸೇವಿಸಿ ಬದುಕುವುದೆಂದು ನಂಬಲಾದ ಒಂದು ಪಕ್ಷಿ.
 2. ಕಪಿಂಜಲಪಕ್ಷಿ."
ಚಕೋರಿ,ಹೆಣ್ಣು ಚಕೋರಪಕ್ಷಿ.
ಚಕ್ಕ,"1. ಚಕ್ರ.
 2. ಆರು ಎಂಬ ಸಂಖ್ಯೆಯ ಸಂಕೇತ."
ಚಕ್ಕ(ಕ್ಕು)ಲಿ,ಒಂದು ಬಗೆಯ ಕರಿದ ತಿಂಡಿ.
ಚಕ್ಕಡಿ,"1. ಎತ್ತಿನ ಬಂಡಿ,-ಗಾಡಿ.
 2. ಒಂದು ಬಗೆಯ ನೃತ್ಯ,- ಕುಣಿತ."
ಚಕ್ಕಣ,ಮದ್ಯಪಾನದ ಜೊತೆಗೆ ನಂಜಿಕೊಳ್ಳುವ (ಮಾಂಸದ) ಪದಾರ್ಥ.
ಚಕ್ಕಂದ,"1. ಸಂತೋಷ.
 2. ವಿನೋದ."
ಚಕ್ಕಂಬಟ್ಟಲು,ಕಾಲುಗಳನ್ನು ಮಡಿಸಿ ಕೊಂಡು ಕೂರುವುದು.
ಚಕ್ಕಮಕ್ಕಿ,ಪರಸ್ಪರ ಉಜ್ಜುವುದರಿಂದ ಬೆಂಕಿಯುಂಟಾಗುವ ಒಂದು ಬಗೆಯ ಗಟ್ಟಿಕಲ್ಲು.
ಚಕ್ಕರು,ತಪ್ಪಿಸಿಕೊಳ್ಳುವಿಕೆ.
ಚಕ್ಕರ್,"1. ಸುತ್ತುವಿಕೆ.
 2. ತಪ್ಪಿಸಿಕೊಳ್ಳುವಿಕೆ."
page,2
ಚಕ್ಕಲ(ಳ)ಗುಳಿ,ಪಕ್ಕೆಗಳಲ್ಲಿ ಬೆರಳಾಡಿಸಿ ನಗಿಸುವ ಕ್ರಿಯೆ.
ಚಕ್ಕಲುಬಕ್ಕಲು,ಚಕ್ಕಂಬಟ್ಟಲು.
ಚಕ್ಕವಕ್ಕಿ,ಚಕ್ರವಾಕ ಪಕ್ಷಿ.
ಚಕ್ಕವತ್ತ,ಒಂದು ಬಗೆಯ ತರಕಾರಿಸೊಪ್ಪು.
ಚಕ್ಕಳ,"1. ತೊಗಲು.
 2. ಗಾಯ ಮಾಯುವಾಗ ಮೇಲೇಳುವ ಹಕ್ಕಳೆ.
 3. ಸಣ್ಣ ಚಾಪೆ.
 4. ಒಂದು ಬಗೆಯ ಪಾತ್ರೆ."
ಚಕ್ಕಳಬಕ್ಕಳ,ಚಕ್ಕಂಬಟ್ಟಲು.
