page,1
ಲಂಕಾಧಿಪತಿ,"ಲಂಕೆಯ ಒಡೆಯ, ರಾವಣ (ತನ್ನ ದೋರ್ಗರ್ವದ ಅಗುರ್ವಂ ಪ್ರಾಕಟಂ ಮಾಡುವ ಬಗೆಯೊಳಿದಂ ಪತ್ತಿ ಕಿೞ್ತೊತ್ತಿ ಪೊತ್ತು ಎತ್ತಿದೊಡೆ ಇತ್ತಂ ಮೆಚ್ಚಿ ಲಂಕಾಧಿಪತಿಗೆ ಬರವಂ ರಾಗದಿಂ ನೀಳಕಂಠಂ: ಪಂಪಭಾ, ೭. ೭೪)"
ಲಕುಚ,"ಕಂಚಿ ಗಿಡ (ಲಕುಚ ಅಶೋಕ ತಮಾಳ ಶಾಲ ಕದಳೀ ಸಪ್ತಚ್ಛದ ಆಕ್ಷೆೞ ಚಂಪಕ .. .. ಪಾದಪಂ ಕಣ್ಗೊಪ್ಪುಗುಂ ಸುತ್ತಲುಂ: ವರ್ಧಮಾಪು, ೧. ೫೧)"
ಲಕುಟ,"ದೊಣ್ಣೆ (ಅವರ ಶಿರಂಗಳಂ ಕಿರಾಟಂ ಲಕುಟದಿಂ ಬಿರಿಯೆ ಪೊಯ್ಯಲ್: ಪಂಚತಂತ್ರ, ೨೬೧ ವ)"
ಲಕುಟಯಷ್ಟಿ,"ದೊಣ್ಣೆಕೋಲು (ಪಾಪಸತ್ವಂಗಳ್ ಕಾಡೆ ಲಕುಟಯಷ್ಟ್ಯಾದಿವಿಧಿಯನುಪದೇಶಂಗೆಯ್ದಾತಂ ಕ್ಷೇಮಂಧರನೆಂಬ ಪೆಸರಂ ಪಡೆದಂ: ಆದಿಪು, ೬. ೫೬ ವ)"
ಲಕ್ಕ,"ಲಕ್ಷ ಎಂಬ ಸಂಖ್ಯೆ (ಪಟ್ಟಂಗಟ್ಟಿದ ಇಳಾಧಿನಾಥರೆ ಪಯಿಂಛಾಸಿರ್ವರ್ ಒಳ್ಳಾನೆಗಳ್ ಪಟ್ಟಂಗಟ್ಟಿದುವು ಒಂದು ಲಕ್ಕ ತುರಗಂ ಪತ್ತೆಂಟು ಲಕ್ಕಂ: ಪಂಪಭಾ, ೧೦. ೧೧೭)"
ಲಕ್ಕಚಣ,"ಒಂದು ಆಯುಧ (ಸುಲಿಪಲ್ಲಂ ಮೆಱೆವೈ ಪರಲಲನೆಯರ್ಗೆಂದಿಕ್ಕುೞಂದೆ ಕೀೞ್ವರ್ ಪಲ್ಲಂ ಸಲೆ ಕಣ್ಣಂ ಕೆತ್ತುವೆಯೆಂದು ಲಕ್ಕಚಣದಿಂದೆ ಮೀಂಟಿ ಕಳೆವರ್ ಕಣ್ಣಂ: ಪಾರ್ಶ್ವನಾಪು, ೬. ೯೦)"
ಲಕ್ಕಣ,"ಲಕ್ಷಣ (ಬೂದಿ ಜೆಡೆ ಲಕ್ಕಣಂ ತಪಕೆ ಆದುವು ಎರೞ್ದೊಣೆ ಶರಾಸನಂ ಕವಚಂ ಇದೆಂತಾದುವೋ ಮುತ್ತುಂ ಮೆೞಸುಂ ಕೋದಂತುಟೆ ನಿನ್ನ ತಪದ ಪಾಂಗೆಂತು ಗಡಾ: ಪಂಪಭಾ, ೭. ೯೨); ದುರ್ಯೋಧನನ ಮಗನ ಹೆಸರು (ಲಕ್ಕಣಂ ಮೊದಲಾಗೆ ನೂರ್ವರ್ ಮಕ್ಕಳುಂ ಸಿತ್ತಿಱದು ಬಳಸಿ ಬರೆ: ಪಂಪಭಾ, ೧೦. ೨೭ ವ)"
ಲಕ್ಕಂಬಡೆ,"ನೂರು ಸಾವಿರ [ಒಂದು ಲಕ್ಷ] ಬೆಲೆಬಾಳು (ತೊಡವೆನಗಪ್ಪೊಡೆ ಲಕ್ಕಂಬಡೆದುವು ಪಲವೊಳವು ನಂಬೆಯಪ್ಪೊಡೆ ನೋಡೀಗಡೆ: ಧರ್ಮಾಮೃ, ೨. ೭೭)"
ಲಕ್ಕೆ,"ಲಕ್ಷ ಸಂಖ್ಯೆ (ತುಱುಗಿದ ನಾಲ್ಕುಂ ಲಕ್ಕೆಯುಂ ಅಱುವತ್ತು ಸಾಸಿರಂಗಳಿಂ ಮೇಲಯ್ನೂರಱುವತ್ತುಪಧ್ವಜಂ ಕೈನಿಱದವು ಭಾರತಿಕನಾಗೆ ಮಂದಸಮೀರಂ: ಮಲ್ಲಿನಾಪು, ೧೪. ೧೧೬)"
