page,1
ಕಂ ,ನೀರು
ಕಃ ,ಯಾವನು
ಕಂ(ಕೆಂ)ದಳ ,ಒಂದು ಬಗೆಯ ಹೂ
ಕಂ(ಗಂ)ಪಲ್ ,ಕೆಸರು
ಕಂಕ ,"ಚಿಮಟ, ಇಕ್ಕುಳ; ಕರೀ ಹದ್ದು"
ಕಂಕಟ ,ಕವಚ
ಕಂಕಣ ,ಬಳೆ
ಕಂಕಣವಾರ ,ಬಳೆಗಳ ಸಾಲು (ಕಂಕಣ+ಆರ=ಕಂಕಣ ಮತ್ತು ಹಾರ)
ಕಂಕಪತ್ರ ,ಹದ್ದಿನ ಗರಿ(ಗಳುಳ್ಳ ಬಾಣ)
ಕಕರಗೆಯ್ತ ,"ಕಕರವೆಂಬ ಮದ್ಯದ ಕಾರ್ಯ, ಅಂದರೆ ಅಮಲು"
ಕಂಕರಿ ,ಒಂದು ವಾದ್ಯ
ಕಂಕಾಲಿ(ಳಿ) ,ಶಿವ
ಕಂಕಾಳಿಕೆ ,ಎಲುಬು ಗೂಡು
ಕಕುದ ,ಶಿಖರ; ಗೂಳಿಯ ಹಿಣಿಲು
ಕಕುದ್ಮತ್ ,ಎತ್ತು
ಕಕುಭ ,ದಿಕ್ಕು; ಮತ್ತಿಯ ಗಿಡ; ವೀಣೆಯ ಬುರುಡೆ
ಕಂಕೇಲಿ(ಳಿ) ,ಅಶೋಕದ ಮರ
ಕಕ್ಕಡವಂದಿ ,ದೊಡ್ಡ ಹಂದಿ
ಕಕ್ಕಡೆ ,ಗರಗಸದಂತೆ ಬಾಯುಳ್ಳ ಒಂದು ಬಗೆಯ ಆಯುಧ; ಗುದ್ದಲಿ
ಕಕ್ಕಡೆಗಾಸಿಯಾಗು ,ಕಕ್ಕಡೆಯ ಏಟಿನಿಂದ ಗಾಸಿಗೊಳ್ಳು
page,2
ಕಕ್ಕಂಬು ,"ಒಂದು ಬಗೆಯ ಬಾಣ, ಮುಳ್ಳಿನ ಬಾಣ"
ಕಕ್ಕರ ,"ಒಂದು ಬಗೆಯ ಮದ್ಯ; ಕೃಕರ, ಒಂದು ವಿಧದ ನೀರುಹಕ್ಕಿ"
ಕಕ್ಕರ , (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಕಕ್ಕರಗೆಯ್ತ ,ಕಕ್ಕರವೆಂಬ ಮದ್ಯದ ಅಮಲಿನಿಂದ ಮಾಡುವ ಚೇಷ್ಟೆ
ಕಕ್ಕರನೆ ,ಕರಕರನೆ ಎಂಬ ಅನುಕರಣಶಬ್ದ
ಕಕ್ಕರವೞಯಿಗೆ ,ಮಾಸಲು ಬಣ್ಣದ ಬಟ್ಟೆ
ಕಕ್ಕರಸಂಜೆ ,ಬಣ್ಣಬಣ್ಣದ ಸಂಜೆ
ಕಕ್ಕರಸಂಜೆ ,ಕಕ್ಕಸರಂಜೆ (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಕಕ್ಕರಿ ,"ಮೋಸ, ವಂಚನೆ"
